Enero	Febrero	Marzo	Abril	Mayo	Junio	Julio	Agosto	Septiembre	Octubre	Noviembre	Diciembre
-760	343	265	-624	-390	-796	601	-780	-491	645	-248	714
223	491	-397	-123	6	-115	157	-741	-951	267	14	-596
-872	-913	558	278	544	-223	607	-113	348	576	-977	195
111	-842	730	-761	158	-963	-290	-669	191	130	170	-274
919	111	-688	15	395	9	553	297	-302	695	730	-731
676	-331	-949	-559	328	-672	-377	-693	-838	-975	290	-904
504	-442	203	-585	107	184	483	945	487	647	705	430
736	-752	-933	-144	539	-5	85	484	-492	152	271	-92
764	636	-379	-657	945	-240	-886	332	254	-578	-316	149
240	732	92	-858	155	-100	421	-609	-929	-652	-454	-622
-571	-39	714	-938	-751	435	-994	761	-361	995	-526	368
959	855	839	91	-367	-975	-829	-744	421	215	640	-976
-52	48	929	-221	760	603	721	656	-282	-297	-865	786
80	748	-118	208	-394	-219	801	-888	783	-283	317	-724
990	-109	-671	-695	42	-321	329	-515	-148	-659	-185	631
-142	-522	880	149	-94	-392	-134	-321	-475	844	-615	336
81	-104	198	-872	581	-348	-37	851	15	69	114	218
-458	319	-802	-943	692	-561	258	-800	-369	-241	377	-658
380	-468	-369	-353	-853	-570	894	356	-708	-220	11	78
-702	309	999	7	471	744	747	699	-969	962	-693	-774
-698	154	-314	415	147	663	563	-150	-635	947	952	-481
310	792	-337	469	-213	809	96	-142	237	589	-56	-615
462	-971	690	-703	609	155	-871	-303	792	523	573	568
660	-930	-320	-936	-127	563	-477	-843	-134	300	-136	470
-603	-909	564	-771	-617	-471	-742	-840	-727	850	-387	235
97	216	-347	-718	475	15	-677	105	516	395	839	176
-628	-866	-863	842	-57	-909	299	858	429	921	-829	-951
600	958	-898	-641	876	604	194	-973	-777	-627	-601	-479
487	877	432	-170	782	567	-323	-254	-277	-748	-148	425
-147	659	-697	297	161	-289	143	368	457	-602	241	251
801	595	-848	678	386	281	830	955	411	-741	173	-238
-832	-556	654	-66	606	233	620	-561	348	413	5	30
954	-275	985	632	-391	-861	415	-707	506	-342	818	775
591	644	53	-649	-445	34	868	-928	120	141	-844	-651
591	579	232	-641	308	-595	143	-99	-504	-839	-590	946
196	46	-615	-581	549	767	-673	442	-295	622	985	280
-59	-551	-735	-522	-581	719	-207	802	-439	844	458	702
-121	-796	-331	-435	367	245	528	-394	41	458	-269	-593
-402	121	377	380	395	-943	-178	786	962	-245	74	-858
880	934	173	523	310	-569	-472	286	962	616	779	-536
425	647	600	-710	998	-230	926	-67	472	42	-745	-783
714	-280	571	58	-457	153	90	-446	-29	279	808	-464
351	220	53	627	-423	-219	921	-761	-946	51	-674	-761
114	136	-802	-204	-779	-180	8	-290	bug	-607	-212	684
425	300	546	303	-981	146	93	-668	768	74	887	-873
-559	-47	608	-363	-316	692	-40	-802	748	437	-151	531
-803	-50	-253	-874	854	989	46	-138	-819	909	-753	946
535	287	345	-395	-547	-797	475	-64	85	645	-645	-947
-356	428	-931	49	-699	19	830	-283	96	-720	378	980
-966	-645	-422	8	436	981	-862	-654	-145	687	283	-706
973	193	-509	529	912	803	553	861	-305	ups	441	524
-550	42	-377	119	119	-139	529	-207	643	-620	-79	723
-471	235	993	-573	-253	689	204	520	39	-740	391	28
212	-215	295	-944	327	-758	819	-227	-966	487	526	494
-102	-550	-241	-121	-225	-919	-557	-987	864	-619	-869	-146
74	869	-151	-700	360	98	507	-643	580	-225	-944	-265
-868	-580	-821	-373	306	797	-937	354	-307	577	697	327
317	568	765	801	-260	821	-186	741	-255	476	-936	734
-346	-463	-356	-851	-2	-97	59	-524	-331	-652	325	163
-191	865	217	-3	418	-166	'-602'	-352	255	168	-453	929
985	670	-577	897	380	154	-275	103	-762	-490	980	-199
-282	-717	-134	523	541	544	673	740	-544	-518	776	-669
675	-212	94	-768	610	-198	844	317	36	-988	-956	-354
'-541'	331	-170	-943	-196	-640	-291	-662	-478	205	952	-529
-245	-357	688	-812	194	-353	-589	-633	-243	-127	-478	-74
562	293	-671	-738	503	449	421	-336	-119	-416	-247	-544
694	178	-928	533	415	-859	-227	920	978	802	196	133
885	-680	-936	457	102	-750	-342	100	-664	-758	-650	143
-457	-222	705	199	286	-164	-826	144	-116	-216	166	577
892	-989	-255	-703	876	921	-101	-521	713	-126	-62	105
130	-324	249	780	-508	-43	61	367	-382	-478	-772	503
374	-516	487	-476	-734	233	-16	745	-676	-470	-769	-466
-41	486	-923	-927	587	287	876	-166	-955	84	784	156
153	-573	-167	229	-523	-135	296	679	244	488	287	831
331	784	905	138	-736	-541	396	749	-928	-800	331	886
244	-421	-412	-497	-463	-228	-615	485	-366	-594	703	298
-46	-842	521	-459	-82	-711	317	481	-683	-825	909	-331
514	-754	-382	746	-688	953	-823	-208	-980	856	519	-72
238	992	181	-841	542	-705	-244	-571	-722	614	-908	-548
186	-470	650	-439	-371	582	-552	400	365	49	970	-700
-65	678	-211	-704	900	775	-681	-160	-403	-223	75	0
-662	365	-140	-33	518	-494	807	558	-519	492	-944	648
204	-145	-861	222	379	216	450	457	71	-231	259	634
975	-212	12	421	689	-31	-125	93	228	831	165	413
474	307	129	-882	12	419	253	-183	18	455	-37	-68
-480	870	187	-77	-650	-57	501	-169	77	-796	-660	133
-368	-913	297	-452	568	836	-65	-553	394	-214	-636	-429
594	345	-730	-436	659	604	199	-225	-801	136	707	-146
989	-55	-778	-502	-104	-676	786	-724	169	-213	-795	-3
393	-80	-733	-516	-88	544	-133	-859	95	356	431	-991
148	-490	-502	453	815	-94	559	-836	814	-870	'00'	946
-321	38	-916	-534	824	278	-655	160	-329	274	-297	-454
-670	-776	-979	-157	-381	826	655	-377	-679	96	75	-155
-693	964	766	256	563	134	-307	-772	433	-129	-72	1
466	-274	-280	856	117	147	-53	-159	531	-32	-581	-209
-652	233	-65	431	-593	-72	-140	-159	-581	771	191	313
777	-905	-405	110	-444	-978	-285	-346	207	-363	696	-971
-380	946	-790	9	-59	-743	-296	321	-767	944	-116	-873
244	-44	-271	462	-55	-699	674	-203	-792	-848	263	-378
126	-221	290	-960	-303	-384	506	-11	-456	268	630	271
